split,augmentation,source_image,output_image,source_label,output_label
train,original,crack_00063.jpg,crack_00063.jpg,crack_00063.txt,crack_00063.txt
train,original,crack_00064.jpg,crack_00064.jpg,crack_00064.txt,crack_00064.txt
train,original,crack_00067.jpg,crack_00067.jpg,crack_00067.txt,crack_00067.txt
train,original,crack_00068.jpg,crack_00068.jpg,crack_00068.txt,crack_00068.txt
train,original,crack_00069.jpg,crack_00069.jpg,crack_00069.txt,crack_00069.txt
train,original,crack_00070.jpg,crack_00070.jpg,crack_00070.txt,crack_00070.txt
train,original,crack_00071.jpg,crack_00071.jpg,crack_00071.txt,crack_00071.txt
train,original,crack_00073.jpg,crack_00073.jpg,crack_00073.txt,crack_00073.txt
train,original,crack_00075.jpg,crack_00075.jpg,crack_00075.txt,crack_00075.txt
train,original,crack_00076.jpg,crack_00076.jpg,crack_00076.txt,crack_00076.txt
train,original,crack_00077.jpg,crack_00077.jpg,crack_00077.txt,crack_00077.txt
train,original,crack_00078.jpg,crack_00078.jpg,crack_00078.txt,crack_00078.txt
train,original,crack_00079.jpg,crack_00079.jpg,crack_00079.txt,crack_00079.txt
train,original,crack_00081.jpg,crack_00081.jpg,crack_00081.txt,crack_00081.txt
train,original,crack_00083.jpg,crack_00083.jpg,crack_00083.txt,crack_00083.txt
train,original,crack_00084.jpg,crack_00084.jpg,crack_00084.txt,crack_00084.txt
train,original,crack_00085.jpg,crack_00085.jpg,crack_00085.txt,crack_00085.txt
train,original,crack_00087.jpg,crack_00087.jpg,crack_00087.txt,crack_00087.txt
train,original,crack_00088.jpg,crack_00088.jpg,crack_00088.txt,crack_00088.txt
train,original,crack_00090.jpg,crack_00090.jpg,crack_00090.txt,crack_00090.txt
train,original,crack_00092.jpg,crack_00092.jpg,crack_00092.txt,crack_00092.txt
train,original,crack_00093.jpg,crack_00093.jpg,crack_00093.txt,crack_00093.txt
train,original,crack_00095.jpg,crack_00095.jpg,crack_00095.txt,crack_00095.txt
train,original,crack_00096.jpg,crack_00096.jpg,crack_00096.txt,crack_00096.txt
train,original,crack_00098.jpg,crack_00098.jpg,crack_00098.txt,crack_00098.txt
train,original,crack_00099.jpg,crack_00099.jpg,crack_00099.txt,crack_00099.txt
train,original,crack_00100.jpg,crack_00100.jpg,crack_00100.txt,crack_00100.txt
train,original,crack_00101.jpg,crack_00101.jpg,crack_00101.txt,crack_00101.txt
train,original,crack_00102.jpg,crack_00102.jpg,crack_00102.txt,crack_00102.txt
train,original,crack_00106.jpg,crack_00106.jpg,crack_00106.txt,crack_00106.txt
train,original,crack_00107.jpg,crack_00107.jpg,crack_00107.txt,crack_00107.txt
train,original,crack_00108.jpg,crack_00108.jpg,crack_00108.txt,crack_00108.txt
train,original,crack_00109.jpg,crack_00109.jpg,crack_00109.txt,crack_00109.txt
train,original,crack_00110.jpg,crack_00110.jpg,crack_00110.txt,crack_00110.txt
train,original,crack_00112.jpg,crack_00112.jpg,crack_00112.txt,crack_00112.txt
train,original,crack_00113.jpg,crack_00113.jpg,crack_00113.txt,crack_00113.txt
train,original,crack_00114.jpg,crack_00114.jpg,crack_00114.txt,crack_00114.txt
train,original,crack_00116.jpg,crack_00116.jpg,crack_00116.txt,crack_00116.txt
train,original,crack_00122.jpg,crack_00122.jpg,crack_00122.txt,crack_00122.txt
train,original,crack_00123.jpg,crack_00123.jpg,crack_00123.txt,crack_00123.txt
train,original,crack_00124.jpg,crack_00124.jpg,crack_00124.txt,crack_00124.txt
train,original,crack_00126.jpg,crack_00126.jpg,crack_00126.txt,crack_00126.txt
train,original,crack_00127.jpg,crack_00127.jpg,crack_00127.txt,crack_00127.txt
train,original,crack_00128.jpg,crack_00128.jpg,crack_00128.txt,crack_00128.txt
train,original,crack_00129.jpg,crack_00129.jpg,crack_00129.txt,crack_00129.txt
train,original,crack_00130.jpg,crack_00130.jpg,crack_00130.txt,crack_00130.txt
train,original,crack_00133.jpg,crack_00133.jpg,crack_00133.txt,crack_00133.txt
train,original,crack_00134.jpg,crack_00134.jpg,crack_00134.txt,crack_00134.txt
train,original,crack_00135.jpg,crack_00135.jpg,crack_00135.txt,crack_00135.txt
train,original,crack_00137.jpg,crack_00137.jpg,crack_00137.txt,crack_00137.txt
train,original,crack_00138.jpg,crack_00138.jpg,crack_00138.txt,crack_00138.txt
train,original,crack_00144.jpg,crack_00144.jpg,crack_00144.txt,crack_00144.txt
train,original,crack_00145.jpg,crack_00145.jpg,crack_00145.txt,crack_00145.txt
train,original,crack_00148.jpg,crack_00148.jpg,crack_00148.txt,crack_00148.txt
train,original,crack_00150.jpg,crack_00150.jpg,crack_00150.txt,crack_00150.txt
train,original,crack_00152.jpg,crack_00152.jpg,crack_00152.txt,crack_00152.txt
train,original,crack_00153.jpg,crack_00153.jpg,crack_00153.txt,crack_00153.txt
train,original,crack_00154.jpg,crack_00154.jpg,crack_00154.txt,crack_00154.txt
train,original,crack_00156.jpg,crack_00156.jpg,crack_00156.txt,crack_00156.txt
train,original,crack_00157.jpg,crack_00157.jpg,crack_00157.txt,crack_00157.txt
train,original,crack_00158.jpg,crack_00158.jpg,crack_00158.txt,crack_00158.txt
train,original,crack_00159.jpg,crack_00159.jpg,crack_00159.txt,crack_00159.txt
train,original,crack_00160.jpg,crack_00160.jpg,crack_00160.txt,crack_00160.txt
train,original,crack_00161.jpg,crack_00161.jpg,crack_00161.txt,crack_00161.txt
train,original,crack_00163.jpg,crack_00163.jpg,crack_00163.txt,crack_00163.txt
train,original,crack_00166.jpg,crack_00166.jpg,crack_00166.txt,crack_00166.txt
train,original,crack_00167.jpg,crack_00167.jpg,crack_00167.txt,crack_00167.txt
train,original,crack_00169.jpg,crack_00169.jpg,crack_00169.txt,crack_00169.txt
train,original,crack_00170.jpg,crack_00170.jpg,crack_00170.txt,crack_00170.txt
train,original,crack_00171.jpg,crack_00171.jpg,crack_00171.txt,crack_00171.txt
train,original,crack_00172.jpg,crack_00172.jpg,crack_00172.txt,crack_00172.txt
train,original,crack_00173.jpg,crack_00173.jpg,crack_00173.txt,crack_00173.txt
train,original,crack_00174.jpg,crack_00174.jpg,crack_00174.txt,crack_00174.txt
train,original,crack_00175.jpg,crack_00175.jpg,crack_00175.txt,crack_00175.txt
train,original,crack_00177.jpg,crack_00177.jpg,crack_00177.txt,crack_00177.txt
train,original,crack_00178.jpg,crack_00178.jpg,crack_00178.txt,crack_00178.txt
train,original,crack_00180.jpg,crack_00180.jpg,crack_00180.txt,crack_00180.txt
train,original,crack_00181.jpg,crack_00181.jpg,crack_00181.txt,crack_00181.txt
train,original,crack_00182.jpg,crack_00182.jpg,crack_00182.txt,crack_00182.txt
train,original,crack_00183.jpg,crack_00183.jpg,crack_00183.txt,crack_00183.txt
train,original,crack_00184.jpg,crack_00184.jpg,crack_00184.txt,crack_00184.txt
train,original,crack_00185.jpg,crack_00185.jpg,crack_00185.txt,crack_00185.txt
train,original,crack_00186.jpg,crack_00186.jpg,crack_00186.txt,crack_00186.txt
train,original,crack_00188.jpg,crack_00188.jpg,crack_00188.txt,crack_00188.txt
train,original,crack_00189.jpg,crack_00189.jpg,crack_00189.txt,crack_00189.txt
train,original,crack_00191.jpg,crack_00191.jpg,crack_00191.txt,crack_00191.txt
train,original,crack_00193.jpg,crack_00193.jpg,crack_00193.txt,crack_00193.txt
train,original,crack_00195.jpg,crack_00195.jpg,crack_00195.txt,crack_00195.txt
train,original,crack_00196.jpg,crack_00196.jpg,crack_00196.txt,crack_00196.txt
train,original,crack_00197.jpg,crack_00197.jpg,crack_00197.txt,crack_00197.txt
train,original,crack_00198.jpg,crack_00198.jpg,crack_00198.txt,crack_00198.txt
train,original,crack_00200.jpg,crack_00200.jpg,crack_00200.txt,crack_00200.txt
train,original,crack_00203.jpg,crack_00203.jpg,crack_00203.txt,crack_00203.txt
train,original,crack_00204.jpg,crack_00204.jpg,crack_00204.txt,crack_00204.txt
train,original,crack_00206.jpg,crack_00206.jpg,crack_00206.txt,crack_00206.txt
train,original,crack_00208.jpg,crack_00208.jpg,crack_00208.txt,crack_00208.txt
train,original,crack_00209.jpg,crack_00209.jpg,crack_00209.txt,crack_00209.txt
train,original,crack_00212.jpg,crack_00212.jpg,crack_00212.txt,crack_00212.txt
train,original,crack_00214.jpg,crack_00214.jpg,crack_00214.txt,crack_00214.txt
train,original,crack_00215.jpg,crack_00215.jpg,crack_00215.txt,crack_00215.txt
train,original,crack_00216.jpg,crack_00216.jpg,crack_00216.txt,crack_00216.txt
train,original,crack_00217.jpg,crack_00217.jpg,crack_00217.txt,crack_00217.txt
train,original,crack_00219.jpg,crack_00219.jpg,crack_00219.txt,crack_00219.txt
train,original,crack_00221.jpg,crack_00221.jpg,crack_00221.txt,crack_00221.txt
train,original,crack_00223.jpg,crack_00223.jpg,crack_00223.txt,crack_00223.txt
train,original,crack_00226.jpg,crack_00226.jpg,crack_00226.txt,crack_00226.txt
train,original,crack_00227.jpg,crack_00227.jpg,crack_00227.txt,crack_00227.txt
train,original,crack_00228.jpg,crack_00228.jpg,crack_00228.txt,crack_00228.txt
train,original,crack_00231.jpg,crack_00231.jpg,crack_00231.txt,crack_00231.txt
train,original,crack_00232.jpg,crack_00232.jpg,crack_00232.txt,crack_00232.txt
train,original,crack_00233.jpg,crack_00233.jpg,crack_00233.txt,crack_00233.txt
train,original,crack_00234.jpg,crack_00234.jpg,crack_00234.txt,crack_00234.txt
train,original,crack_00236.jpg,crack_00236.jpg,crack_00236.txt,crack_00236.txt
train,original,crack_00238.jpg,crack_00238.jpg,crack_00238.txt,crack_00238.txt
train,original,crack_00239.jpg,crack_00239.jpg,crack_00239.txt,crack_00239.txt
train,original,crack_00240.jpg,crack_00240.jpg,crack_00240.txt,crack_00240.txt
train,original,crack_00241.jpg,crack_00241.jpg,crack_00241.txt,crack_00241.txt
train,original,crack_00242.jpg,crack_00242.jpg,crack_00242.txt,crack_00242.txt
train,original,crack_00243.jpg,crack_00243.jpg,crack_00243.txt,crack_00243.txt
train,original,crack_00244.jpg,crack_00244.jpg,crack_00244.txt,crack_00244.txt
train,original,crack_00245.jpg,crack_00245.jpg,crack_00245.txt,crack_00245.txt
train,original,crack_00247.jpg,crack_00247.jpg,crack_00247.txt,crack_00247.txt
train,original,crack_00249.jpg,crack_00249.jpg,crack_00249.txt,crack_00249.txt
train,original,crack_00250.jpg,crack_00250.jpg,crack_00250.txt,crack_00250.txt
train,original,crack_00251.jpg,crack_00251.jpg,crack_00251.txt,crack_00251.txt
train,original,crack_00252.jpg,crack_00252.jpg,crack_00252.txt,crack_00252.txt
train,original,crack_00253.jpg,crack_00253.jpg,crack_00253.txt,crack_00253.txt
train,original,crack_00254.jpg,crack_00254.jpg,crack_00254.txt,crack_00254.txt
train,original,crack_00255.jpg,crack_00255.jpg,crack_00255.txt,crack_00255.txt
train,original,crack_00257.jpg,crack_00257.jpg,crack_00257.txt,crack_00257.txt
train,original,crack_00259.jpg,crack_00259.jpg,crack_00259.txt,crack_00259.txt
train,original,crack_00260.jpg,crack_00260.jpg,crack_00260.txt,crack_00260.txt
train,original,crack_00261.jpg,crack_00261.jpg,crack_00261.txt,crack_00261.txt
train,original,crack_00264.jpg,crack_00264.jpg,crack_00264.txt,crack_00264.txt
train,original,crack_00265.jpg,crack_00265.jpg,crack_00265.txt,crack_00265.txt
train,original,crack_00266.jpg,crack_00266.jpg,crack_00266.txt,crack_00266.txt
train,original,crack_00267.jpg,crack_00267.jpg,crack_00267.txt,crack_00267.txt
train,original,crack_00270.jpg,crack_00270.jpg,crack_00270.txt,crack_00270.txt
train,original,crack_00273.jpg,crack_00273.jpg,crack_00273.txt,crack_00273.txt
train,original,crack_00274.jpg,crack_00274.jpg,crack_00274.txt,crack_00274.txt
train,original,crack_00275.jpg,crack_00275.jpg,crack_00275.txt,crack_00275.txt
train,original,crack_00277.jpg,crack_00277.jpg,crack_00277.txt,crack_00277.txt
train,original,crack_00278.jpg,crack_00278.jpg,crack_00278.txt,crack_00278.txt
train,original,crack_00279.jpg,crack_00279.jpg,crack_00279.txt,crack_00279.txt
train,original,crack_00280.jpg,crack_00280.jpg,crack_00280.txt,crack_00280.txt
train,original,crack_00281.jpg,crack_00281.jpg,crack_00281.txt,crack_00281.txt
train,original,crack_00282.jpg,crack_00282.jpg,crack_00282.txt,crack_00282.txt
train,original,crack_00283.jpg,crack_00283.jpg,crack_00283.txt,crack_00283.txt
train,original,crack_00285.jpg,crack_00285.jpg,crack_00285.txt,crack_00285.txt
train,original,crack_00287.jpg,crack_00287.jpg,crack_00287.txt,crack_00287.txt
train,original,crack_00289.jpg,crack_00289.jpg,crack_00289.txt,crack_00289.txt
train,original,crack_00290.jpg,crack_00290.jpg,crack_00290.txt,crack_00290.txt
train,original,crack_00291.jpg,crack_00291.jpg,crack_00291.txt,crack_00291.txt
train,original,crack_00292.jpg,crack_00292.jpg,crack_00292.txt,crack_00292.txt
train,original,crack_00294.jpg,crack_00294.jpg,crack_00294.txt,crack_00294.txt
train,original,crack_00295.jpg,crack_00295.jpg,crack_00295.txt,crack_00295.txt
train,original,crack_00296.jpg,crack_00296.jpg,crack_00296.txt,crack_00296.txt
train,original,crack_00297.jpg,crack_00297.jpg,crack_00297.txt,crack_00297.txt
train,original,crack_00298.jpg,crack_00298.jpg,crack_00298.txt,crack_00298.txt
train,original,crack_00299.jpg,crack_00299.jpg,crack_00299.txt,crack_00299.txt
train,original,crack_00300.jpg,crack_00300.jpg,crack_00300.txt,crack_00300.txt
train,original,crack_00301.jpg,crack_00301.jpg,crack_00301.txt,crack_00301.txt
train,original,crack_00302.jpg,crack_00302.jpg,crack_00302.txt,crack_00302.txt
train,original,crack_00303.jpg,crack_00303.jpg,crack_00303.txt,crack_00303.txt
train,original,crack_00305.jpg,crack_00305.jpg,crack_00305.txt,crack_00305.txt
train,original,crack_00307.jpg,crack_00307.jpg,crack_00307.txt,crack_00307.txt
train,original,crack_00308.jpg,crack_00308.jpg,crack_00308.txt,crack_00308.txt
train,original,crack_00309.jpg,crack_00309.jpg,crack_00309.txt,crack_00309.txt
train,original,crack_00310.jpg,crack_00310.jpg,crack_00310.txt,crack_00310.txt
train,original,crack_00311.jpg,crack_00311.jpg,crack_00311.txt,crack_00311.txt
train,original,crack_00312.jpg,crack_00312.jpg,crack_00312.txt,crack_00312.txt
train,original,crack_00313.jpg,crack_00313.jpg,crack_00313.txt,crack_00313.txt
train,original,crack_00315.jpg,crack_00315.jpg,crack_00315.txt,crack_00315.txt
train,original,crack_00316.jpg,crack_00316.jpg,crack_00316.txt,crack_00316.txt
train,original,crack_00320.jpg,crack_00320.jpg,crack_00320.txt,crack_00320.txt
train,original,crack_00321.jpg,crack_00321.jpg,crack_00321.txt,crack_00321.txt
train,original,crack_00322.jpg,crack_00322.jpg,crack_00322.txt,crack_00322.txt
train,original,crack_00325.jpg,crack_00325.jpg,crack_00325.txt,crack_00325.txt
train,original,crack_00326.jpg,crack_00326.jpg,crack_00326.txt,crack_00326.txt
train,original,crack_00329.jpg,crack_00329.jpg,crack_00329.txt,crack_00329.txt
train,original,crack_00330.jpg,crack_00330.jpg,crack_00330.txt,crack_00330.txt
train,original,crack_00332.jpg,crack_00332.jpg,crack_00332.txt,crack_00332.txt
train,original,crack_00336.jpg,crack_00336.jpg,crack_00336.txt,crack_00336.txt
train,original,crack_00337.jpg,crack_00337.jpg,crack_00337.txt,crack_00337.txt
train,original,crack_00342.jpg,crack_00342.jpg,crack_00342.txt,crack_00342.txt
train,original,crack_00343.jpg,crack_00343.jpg,crack_00343.txt,crack_00343.txt
train,original,crack_00344.jpg,crack_00344.jpg,crack_00344.txt,crack_00344.txt
train,original,crack_00345.jpg,crack_00345.jpg,crack_00345.txt,crack_00345.txt
train,original,crack_00346.jpg,crack_00346.jpg,crack_00346.txt,crack_00346.txt
train,original,crack_00347.jpg,crack_00347.jpg,crack_00347.txt,crack_00347.txt
train,original,crack_00348.jpg,crack_00348.jpg,crack_00348.txt,crack_00348.txt
train,original,crack_00349.jpg,crack_00349.jpg,crack_00349.txt,crack_00349.txt
train,original,crack_00350.jpg,crack_00350.jpg,crack_00350.txt,crack_00350.txt
train,original,crack_00352.jpg,crack_00352.jpg,crack_00352.txt,crack_00352.txt
train,original,crack_00353.jpg,crack_00353.jpg,crack_00353.txt,crack_00353.txt
train,original,crack_00354.jpg,crack_00354.jpg,crack_00354.txt,crack_00354.txt
train,original,crack_00355.jpg,crack_00355.jpg,crack_00355.txt,crack_00355.txt
train,original,crack_00356.jpg,crack_00356.jpg,crack_00356.txt,crack_00356.txt
train,original,crack_00357.jpg,crack_00357.jpg,crack_00357.txt,crack_00357.txt
train,original,crack_00358.jpg,crack_00358.jpg,crack_00358.txt,crack_00358.txt
train,original,crack_00359.jpg,crack_00359.jpg,crack_00359.txt,crack_00359.txt
train,original,crack_00361.jpg,crack_00361.jpg,crack_00361.txt,crack_00361.txt
train,original,crack_00362.jpg,crack_00362.jpg,crack_00362.txt,crack_00362.txt
train,original,crack_00364.jpg,crack_00364.jpg,crack_00364.txt,crack_00364.txt
train,original,crack_00365.jpg,crack_00365.jpg,crack_00365.txt,crack_00365.txt
train,original,crack_00367.jpg,crack_00367.jpg,crack_00367.txt,crack_00367.txt
train,original,crack_00369.jpg,crack_00369.jpg,crack_00369.txt,crack_00369.txt
train,original,crack_00370.jpg,crack_00370.jpg,crack_00370.txt,crack_00370.txt
train,original,crack_00371.jpg,crack_00371.jpg,crack_00371.txt,crack_00371.txt
train,original,crack_00372.jpg,crack_00372.jpg,crack_00372.txt,crack_00372.txt
train,original,crack_00373.jpg,crack_00373.jpg,crack_00373.txt,crack_00373.txt
train,original,crack_00374.jpg,crack_00374.jpg,crack_00374.txt,crack_00374.txt
train,original,crack_00375.jpg,crack_00375.jpg,crack_00375.txt,crack_00375.txt
train,original,crack_00377.jpg,crack_00377.jpg,crack_00377.txt,crack_00377.txt
train,original,crack_00378.jpg,crack_00378.jpg,crack_00378.txt,crack_00378.txt
train,original,crack_00379.jpg,crack_00379.jpg,crack_00379.txt,crack_00379.txt
train,original,crack_00380.jpg,crack_00380.jpg,crack_00380.txt,crack_00380.txt
train,original,crack_00382.jpg,crack_00382.jpg,crack_00382.txt,crack_00382.txt
train,original,crack_00383.jpg,crack_00383.jpg,crack_00383.txt,crack_00383.txt
train,original,crack_00384.jpg,crack_00384.jpg,crack_00384.txt,crack_00384.txt
train,original,crack_00385.jpg,crack_00385.jpg,crack_00385.txt,crack_00385.txt
train,original,crack_00386.jpg,crack_00386.jpg,crack_00386.txt,crack_00386.txt
train,original,crack_00387.jpg,crack_00387.jpg,crack_00387.txt,crack_00387.txt
train,original,crack_00388.jpg,crack_00388.jpg,crack_00388.txt,crack_00388.txt
train,original,crack_00391.jpg,crack_00391.jpg,crack_00391.txt,crack_00391.txt
train,original,crack_00392.jpg,crack_00392.jpg,crack_00392.txt,crack_00392.txt
train,original,crack_00395.jpg,crack_00395.jpg,crack_00395.txt,crack_00395.txt
train,original,crack_00397.jpg,crack_00397.jpg,crack_00397.txt,crack_00397.txt
train,original,crack_00398.jpg,crack_00398.jpg,crack_00398.txt,crack_00398.txt
train,original,crack_00399.jpg,crack_00399.jpg,crack_00399.txt,crack_00399.txt
train,original,crack_00400.jpg,crack_00400.jpg,crack_00400.txt,crack_00400.txt
train,original,crack_00401.jpg,crack_00401.jpg,crack_00401.txt,crack_00401.txt
train,original,crack_00402.jpg,crack_00402.jpg,crack_00402.txt,crack_00402.txt
train,original,crack_00403.jpg,crack_00403.jpg,crack_00403.txt,crack_00403.txt
train,original,crack_00404.jpg,crack_00404.jpg,crack_00404.txt,crack_00404.txt
train,original,crack_00405.jpg,crack_00405.jpg,crack_00405.txt,crack_00405.txt
train,original,crack_00406.jpg,crack_00406.jpg,crack_00406.txt,crack_00406.txt
train,original,crack_00407.jpg,crack_00407.jpg,crack_00407.txt,crack_00407.txt
train,original,crack_00411.jpg,crack_00411.jpg,crack_00411.txt,crack_00411.txt
train,original,crack_00413.jpg,crack_00413.jpg,crack_00413.txt,crack_00413.txt
train,original,crack_00414.jpg,crack_00414.jpg,crack_00414.txt,crack_00414.txt
train,original,crack_00415.jpg,crack_00415.jpg,crack_00415.txt,crack_00415.txt
train,original,crack_00416.jpg,crack_00416.jpg,crack_00416.txt,crack_00416.txt
train,original,crack_00418.jpg,crack_00418.jpg,crack_00418.txt,crack_00418.txt
train,original,crack_00420.jpg,crack_00420.jpg,crack_00420.txt,crack_00420.txt
train,original,crack_00421.jpg,crack_00421.jpg,crack_00421.txt,crack_00421.txt
train,original,crack_00422.jpg,crack_00422.jpg,crack_00422.txt,crack_00422.txt
train,original,crack_00423.jpg,crack_00423.jpg,crack_00423.txt,crack_00423.txt
train,original,crack_00424.jpg,crack_00424.jpg,crack_00424.txt,crack_00424.txt
train,original,crack_00425.jpg,crack_00425.jpg,crack_00425.txt,crack_00425.txt
train,original,crack_00426.jpg,crack_00426.jpg,crack_00426.txt,crack_00426.txt
train,original,crack_00427.jpg,crack_00427.jpg,crack_00427.txt,crack_00427.txt
train,original,crack_00428.jpg,crack_00428.jpg,crack_00428.txt,crack_00428.txt
train,original,crack_00429.jpg,crack_00429.jpg,crack_00429.txt,crack_00429.txt
train,original,crack_00435.jpg,crack_00435.jpg,crack_00435.txt,crack_00435.txt
train,original,crack_00440.jpg,crack_00440.jpg,crack_00440.txt,crack_00440.txt
train,original,crack_00442.jpg,crack_00442.jpg,crack_00442.txt,crack_00442.txt
train,original,crack_00443.jpg,crack_00443.jpg,crack_00443.txt,crack_00443.txt
train,original,crack_00444.jpg,crack_00444.jpg,crack_00444.txt,crack_00444.txt
train,original,crack_00445.jpg,crack_00445.jpg,crack_00445.txt,crack_00445.txt
train,original,crack_00447.jpg,crack_00447.jpg,crack_00447.txt,crack_00447.txt
train,original,crack_00449.jpg,crack_00449.jpg,crack_00449.txt,crack_00449.txt
train,original,crack_00451.jpg,crack_00451.jpg,crack_00451.txt,crack_00451.txt
train,original,crack_00453.jpg,crack_00453.jpg,crack_00453.txt,crack_00453.txt
train,original,crack_00454.jpg,crack_00454.jpg,crack_00454.txt,crack_00454.txt
train,original,crack_00455.jpg,crack_00455.jpg,crack_00455.txt,crack_00455.txt
train,original,crack_00459.jpg,crack_00459.jpg,crack_00459.txt,crack_00459.txt
train,original,crack_00460.jpg,crack_00460.jpg,crack_00460.txt,crack_00460.txt
train,original,crack_00462.jpg,crack_00462.jpg,crack_00462.txt,crack_00462.txt
train,original,crack_00463.jpg,crack_00463.jpg,crack_00463.txt,crack_00463.txt
train,original,crack_00464.jpg,crack_00464.jpg,crack_00464.txt,crack_00464.txt
train,original,crack_00465.jpg,crack_00465.jpg,crack_00465.txt,crack_00465.txt
train,original,crack_00466.jpg,crack_00466.jpg,crack_00466.txt,crack_00466.txt
train,original,crack_00468.jpg,crack_00468.jpg,crack_00468.txt,crack_00468.txt
train,original,crack_00471.jpg,crack_00471.jpg,crack_00471.txt,crack_00471.txt
train,original,crack_00473.jpg,crack_00473.jpg,crack_00473.txt,crack_00473.txt
train,original,crack_00474.jpg,crack_00474.jpg,crack_00474.txt,crack_00474.txt
train,original,crack_00475.jpg,crack_00475.jpg,crack_00475.txt,crack_00475.txt
train,original,crack_00476.jpg,crack_00476.jpg,crack_00476.txt,crack_00476.txt
train,original,crack_00478.jpg,crack_00478.jpg,crack_00478.txt,crack_00478.txt
train,original,crack_00479.jpg,crack_00479.jpg,crack_00479.txt,crack_00479.txt
train,original,crack_00480.jpg,crack_00480.jpg,crack_00480.txt,crack_00480.txt
train,original,crack_00481.jpg,crack_00481.jpg,crack_00481.txt,crack_00481.txt
train,original,crack_00483.jpg,crack_00483.jpg,crack_00483.txt,crack_00483.txt
train,original,crack_00484.jpg,crack_00484.jpg,crack_00484.txt,crack_00484.txt
train,original,crack_00486.jpg,crack_00486.jpg,crack_00486.txt,crack_00486.txt
train,original,crack_00487.jpg,crack_00487.jpg,crack_00487.txt,crack_00487.txt
